subj_id,sex,age,rank,     trial,ordre_block,   session,react_time,   picture,success,type_picture,stim,expe_pic,Bared teeth,rank_2,pic-control,control_Stroop
Abbott,         M,17,H,1,1,0,1026.0102,0,1,None,None,1,0,H,-6625.6558,6625.6558
Abbott,         M,17,H,2,1,0,13962.3063,0,1,None,None,1,0,H,6310.6403,-6310.6403
Abbott,         M,17,H,3,1,0,2562.7797,0,1,None,None,1,0,H,-5088.8863,5088.8863
Abbott,         M,17,H,4,1,0,2555.6526,0,1,None,None,1,0,H,-5096.0134,5096.0134
Abbott,         M,17,H,5,1,0,14644.9062,0,1,None,None,1,0,H,6993.2402,-6993.2402
Abbott,         M,17,H,6,1,0,15900.2476,0,0,None,None,1,0,H,8248.5816,-8248.5816
Abbott,         M,17,H,7,1,0,5983.4716,0,1,None,None,1,0,H,-1668.1944,1668.1944
Abbott,         M,17,H,8,1,0,10959.4262,0,1,None,None,1,0,H,3307.7602,-3307.7602
Abbott,         M,17,H,9,1,0,9346.0767,0,1,None,None,1,0,H,1694.4107,-1694.4107
Abbott,         M,17,H,10,1,0,2713.2418,0,1,None,None,1,0,H,-4938.4242,4938.4242
Abbott,         M,17,H,1,1,1,7.4214,0,1,None,None,1,0,H,-7644.2446,7644.2446
Abbott,         M,17,H,2,1,1,6128.8825,0,1,None,None,1,0,H,-1522.7835,1522.7835
Abbott,         M,17,H,7,2,1,4469.3923,0,1,None,None,1,0,H,-3182.2737,3182.2737
Abbott,         M,17,H,8,2,1,8534.0811,0,1,None,None,1,0,H,882.4151,-882.4151
Abbott,         M,17,H,13,3,1,8541.3582,0,1,None,None,1,0,H,889.6922,-889.6922
Abbott,         M,17,H,14,3,1,15012.9304,0,1,None,None,1,0,H,7361.2644,-7361.2644
Abbott,         M,17,H,19,4,1,4529.5868,0,1,None,None,1,0,H,-3122.0792,3122.0792
Abbott,         M,17,H,20,4,1,8009.0875,0,1,None,None,1,0,H,357.4215,-357.4215
